x-axis,1,2
second,Volt,Volt
-120.300E+00,+5.930E+00,+4.557E+00
-120.200E+00,+5.850E+00,+4.557E+00
-120.100E+00,+5.850E+00,+4.758E+00
-120.000E+00,+5.850E+00,+4.557E+00
-119.900E+00,+6.051E+00,+4.758E+00
-119.800E+00,+5.970E+00,+4.557E+00
-119.700E+00,+5.930E+00,+4.557E+00
-119.600E+00,+6.051E+00,+4.758E+00
-119.500E+00,+6.252E+00,+4.758E+00
-119.400E+00,+6.212E+00,+4.637E+00
-119.300E+00,+6.131E+00,+4.758E+00
-119.200E+00,+6.051E+00,+4.758E+00
-119.100E+00,+6.252E+00,+4.758E+00
-119.000E+00,+6.051E+00,+4.758E+00
-118.900E+00,+6.091E+00,+4.919E+00
-118.800E+00,+6.252E+00,+4.959E+00
-118.700E+00,+6.252E+00,+4.959E+00
-118.600E+00,+6.091E+00,+5.120E+00
-118.500E+00,+6.453E+00,+4.959E+00
-118.400E+00,+6.252E+00,+5.120E+00
-118.300E+00,+6.372E+00,+5.039E+00
-118.200E+00,+6.252E+00,+5.160E+00
-118.100E+00,+6.413E+00,+5.039E+00
-118.000E+00,+6.453E+00,+5.160E+00
-117.900E+00,+6.413E+00,+5.160E+00
-117.800E+00,+6.453E+00,+4.959E+00
-117.700E+00,+6.453E+00,+5.240E+00
-117.600E+00,+6.413E+00,+4.999E+00
-117.500E+00,+6.453E+00,+5.160E+00
-117.400E+00,+6.493E+00,+5.160E+00
-117.300E+00,+6.453E+00,+5.039E+00
-117.200E+00,+6.533E+00,+5.280E+00
-117.100E+00,+6.614E+00,+5.160E+00
-117.000E+00,+6.453E+00,+5.160E+00
-116.900E+00,+6.654E+00,+5.160E+00
-116.800E+00,+6.654E+00,+5.240E+00
-116.700E+00,+6.654E+00,+5.280E+00
-116.600E+00,+6.533E+00,+5.200E+00
-116.500E+00,+6.654E+00,+4.959E+00
-116.400E+00,+6.694E+00,+5.321E+00
-116.300E+00,+6.654E+00,+4.959E+00
-116.200E+00,+6.774E+00,+5.160E+00
-116.100E+00,+6.654E+00,+5.160E+00
-116.000E+00,+6.855E+00,+5.160E+00
-115.900E+00,+6.855E+00,+5.160E+00
-115.800E+00,+6.855E+00,+5.160E+00
-115.700E+00,+6.855E+00,+5.240E+00
-115.600E+00,+6.895E+00,+5.160E+00
-115.500E+00,+7.056E+00,+4.959E+00
-115.400E+00,+7.016E+00,+5.321E+00
